,year,bodyStyle,mileage,price,counts,ave_mile,ave_price
270,2017.0,Hatchback,14531732.0,15672353.0,683,21276.32796486091,22946.344070278185
271,2017.0,Minivan,18629711.0,10287044.0,491,37942.38492871691,20951.209775967414
272,2017.0,Passenger Van,6357139.0,5258477.0,204,31162.446078431374,25776.848039215685
273,2017.0,Regular Cab Pickup,2507808.0,4343422.0,164,15291.512195121952,26484.280487804877
274,2017.0,SUV,228996893.0,256227081.0,8286,27636.60306541154,30922.891745112236
275,2017.0,Sedan,133514243.0,112846602.0,4969,26869.43912255987,22710.123163614408
276,2017.0,Wagon,2525151.0,3841995.0,139,18166.553956834534,27640.251798561152
277,2018.0,Cargo Van,459364.0,981155.0,33,13920.121212121212,29731.969696969696
278,2018.0,Convertible,2243121.0,6277723.0,150,14954.14,41851.486666666664
279,2018.0,Coupe,4541534.0,22918789.0,515,8818.512621359223,44502.502912621356
280,2018.0,Crew Cab Pickup,19184592.0,52436426.0,1351,14200.290155440414,38813.04663212435
281,2018.0,Extended Cab Pickup,2364151.0,4755601.0,156,15154.814102564103,30484.621794871793
282,2018.0,Hatchback,2474055.0,8469919.0,272,9095.79044117647,31139.408088235294
283,2018.0,Minivan,4405641.0,6637669.0,237,18589.20253164557,28007.042194092828
284,2018.0,Regular Cab Pickup,86227.0,490531.0,16,5389.1875,30658.1875
285,2018.0,SUV,71699566.0,183391188.0,5133,13968.354958114163,35727.87609585038
286,2018.0,Sedan,33670689.0,72052655.0,2562,13142.34543325527,28123.59679937549
287,2018.0,Wagon,400612.0,1654512.0,40,10015.3,41362.8
288,2019.0,Coupe,24944.0,362496.0,6,4157.333333333333,60416.0
289,2019.0,Crew Cab Pickup,115145.0,1276971.0,26,4428.653846153846,49114.269230769234
290,2019.0,SUV,281682.0,2198232.0,59,4774.271186440678,37258.16949152543
291,2019.0,Sedan,42992.0,557770.0,12,3582.6666666666665,46480.833333333336
